Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Alameda,06001444301,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001444303,2,No,No,Yes,No,No,Yes,No,No
Alameda,06001444304,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001444400,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001444500,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001444601,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001444602,3,No,Yes,Yes,No,No,Yes,No,No
Alameda,06001450101,2,No,Yes,Yes,No,No,No,No,No
Alameda,06001450102,1,No,Yes,No,No,No,No,No,No
Alameda,06001450200,2,No,Yes,No,No,No,No,No,Yes
Alameda,06001450300,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001450400,4,Yes,Yes,Yes,No,No,No,No,Yes
Alameda,06001450501,2,Yes,No,Yes,No,No,No,No,No
Alameda,06001450502,2,No,No,Yes,No,No,No,No,Yes
Alameda,06001450601,5,Yes,Yes,Yes,No,No,Yes,No,Yes
Alameda,06001450603,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001450604,2,Yes,Yes,No,No,No,No,No,No
Alameda,06001450605,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001450606,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001450607,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001450608,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001450609,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001450701,4,No,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001450741,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001450742,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001450743,2,No,Yes,Yes,No,No,No,No,No
Alameda,06001450744,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001450745,2,No,Yes,No,No,No,Yes,No,No
Alameda,06001450746,3,Yes,Yes,No,No,No,Yes,No,No
